[07/10/23 07:45:49] [INFO] received Windows console close event; shutting log-core down
[07/10/23 07:48:01] [INFO] received Windows console close event; shutting log-core down
[07/10/23 07:51:04] [INFO] received Windows console close event; shutting log-core down
[07/10/23 07:58:22] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:02:01] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:07:22] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:11:43] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:15:35] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:31:01] [INFO] received Windows console close event; shutting log-core down
[07/10/23 08:56:28] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:01:00] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:07:48] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:33:38] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:35:50] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:44:59] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:46:18] [INFO] received Windows console close event; shutting log-core down
[07/10/23 09:51:17] [INFO] received Windows console close event; shutting log-core down
[07/10/23 10:34:46] [INFO] received Windows console close event; shutting log-core down
[07/10/23 10:38:17] [INFO] received Windows console close event; shutting log-core down
[07/10/23 10:44:52] [INFO] received Windows console close event; shutting log-core down
[07/10/23 10:53:04] [INFO] received Windows console close event; shutting log-core down
[07/10/23 11:04:16] [INFO] received Windows console close event; shutting log-core down
[07/10/23 11:08:24] [INFO] received Windows console close event; shutting log-core down
[07/11/23 01:32:14] [INFO] received Windows console close event; shutting log-core down
[07/11/23 02:17:11] [INFO] received Windows console close event; shutting log-core down
[07/11/23 02:22:44] [INFO] received Windows console close event; shutting log-core down
[07/11/23 02:25:01] [INFO] received Windows console close event; shutting log-core down
[07/11/23 02:30:30] [INFO] received Windows console close event; shutting log-core down
[07/11/23 04:48:15] [INFO] received Windows console close event; shutting log-core down
[07/11/23 05:40:13] [INFO] received Windows console close event; shutting log-core down
[07/11/23 05:52:24] [INFO] received Windows console close event; shutting log-core down
[07/11/23 05:59:15] [INFO] received Windows console close event; shutting log-core down
[07/11/23 06:24:51] [INFO] received Windows console close event; shutting log-core down
[07/11/23 07:08:16] [INFO] received Windows console close event; shutting log-core down
[07/11/23 07:14:36] [INFO] received Windows console close event; shutting log-core down
[07/11/23 07:20:57] [INFO] received Windows console close event; shutting log-core down
[07/11/23 07:31:10] [INFO] received Windows console close event; shutting log-core down
[07/11/23 07:59:33] [INFO] received Windows console close event; shutting log-core down
[07/11/23 08:22:40] [INFO] received Windows console close event; shutting log-core down
[07/11/23 08:59:38] [INFO] received Windows console close event; shutting log-core down
[07/11/23 09:36:18] [INFO] received Windows console close event; shutting log-core down
[07/16/23 06:03:36] [INFO] received Windows console close event; shutting log-core down
[07/16/23 06:20:13] [INFO] received Windows console close event; shutting log-core down
[07/16/23 07:13:47] [INFO] received Windows console close event; shutting log-core down
[07/16/23 07:42:29] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:00:48] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:06:08] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:10:49] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:16:30] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:18:58] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:24:54] [INFO] received Windows console close event; shutting log-core down
[07/16/23 09:25:55] [INFO] received Windows console close event; shutting log-core down
[07/17/23 14:39:16] [INFO] received Windows console close event; shutting log-core down
[07/17/23 15:51:54] [INFO] received Windows console close event; shutting log-core down
